Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude
Qatar,2016,100,100,16.24,,0.06,39.88,0,0.03,0.07516913,223248.58,5.88,86919.99817,0.06714397,3.064191884,57162.96801,248,11586,25.354826,51.183884
Qatar,2019,100,100,15.22,,0.04,46.98,0,0.03,0.06381621,208021.3,6.79,91970.00122,0.06641917,0.68824096,62276.42869,248,11586,25.354826,51.183884
Qatar,2017,100,100,15.82,,0.07,42.94,0,0.03,0.06981615,206889.17,6.8,87540.00092,0.06931601,-1.497604702,59124.86727,248,11586,25.354826,51.183884
Qatar,2018,100,100,15.49,,0.05,45.16,0,0.02,0.044267375,202570.3,6.46,86419.99817,0.06936814,1.234872202,65907.94844,248,11586,25.354826,51.183884
Iceland,2018,100,100,,,80.71,0,0,19.43,100,188294,12.78,1700.000048,77.96496,4.892180731,74469.80406,3,103000,64.963051,-19.020835
Iceland,2017,100,100,,,80.08,0,0,18.84,100,186955.55,12.18,1669.999957,78.81927,4.194948829,72010.14903,3,103000,64.963051,-19.020835
Qatar,2020,100,100,14.96,,,44.63,0,0.02,0.04479283,184074.56,,,0.07569663,-3.557603999,50124.38594,248,11586,25.354826,51.183884
Iceland,2016,100,100,,,80.25,0,0,18.17,100,183038.08,12.07,1629.999995,79.91398,6.303687107,61987.92636,3,103000,64.963051,-19.020835
Iceland,2019,100,100,,,81.07,0,0,19.12,100,175527.73,12.27,1639.999986,80.09719,2.434823,68941.46223,3,103000,64.963051,-19.020835
Singapore,2017,100,100,57.36,,0.67,49.16,0,0.55,1.1064173,164801.44,2.8,49139.99939,0.28081223,4.520379476,61176.45636,"8,358",716,1.352083,103.819836
Singapore,2018,100,100,65.66,,0.73,49.87,0,0.67,1.3256826,163526.77,2.51,47400.00153,0.2784224,3.497469601,66679.04649,"8,358",716,1.352083,103.819836
Singapore,2016,100,100,54.31,,0.68,48.58,0,0.53,1.0792098,162248.22,2.66,46099.99847,0.289138,3.329034458,56848.17539,"8,358",716,1.352083,103.819836
Singapore,2019,100,100,84.47,,0.84,50.96,0,0.78,1.5075376,158657.89,2.57,47380.00107,0.2995429,1.345217486,65640.70795,"8,358",716,1.352083,103.819836
Bahrain,2020,100,100,6.13,,,29.85,0,0.01,0.03348962,156095.8,,,,-5.085180213,20409.9528,"2,239",765,26.0667,50.5577
Iceland,2020,100,100,,,,0,0,18.78,100,155754.6,,,86.836586,-6.50391225,59270.18005,3,103000,64.963051,-19.020835
Bahrain,2019,100,100,6.11,,0,31.43,0,0.01,0.031806614,155398.47,8.73,33259.99832,,2.141376784,23551.93009,"2,239",765,26.0667,50.5577
Singapore,2020,100,100,93.64,,,50.04,0,0.83,1.63161,154256.3,,,0.30993885,-5.391021406,59797.75218,"8,358",716,1.352083,103.819836
Bahrain,2016,100,100,4.69,,0,26.8,0,0.01,0.037299518,144113.94,8.62,30299.99924,,3.558128119,22608.45256,"2,239",765,26.0667,50.5577
Bahrain,2017,100,100,4.48,,0,27.47,0,0.01,0.036390103,143466.25,8.33,30520.00046,,4.290949778,23742.93734,"2,239",765,26.0667,50.5577
Bahrain,2018,100,100,4.48,,0,27.77,0,0.01,0.03599712,142291.5,8.27,30809.99947,,2.136701347,24085.95599,"2,239",765,26.0667,50.5577
United Arab Emirates,2016,100,100,15.12,,0.12,121.53,0,0.32,0.26261798,142115.27,5.96,201080.0018,0.06702232,2.984216091,38141.86713,118,83600,23.424076,53.847818
Trinidad and Tobago,2017,100,100,2.59,,0.42,8.76,0,0.01,0.11402508,141542.45,19.21,18250,0.006543419,-2.987340197,16173.74005,273,5128,10.691803,-61.222503
United Arab Emirates,2017,100,100,37.54,,0.19,125.79,0,0.75,0.592698,135601.27,4.54,197039.9933,0.15412748,2.373551057,40644.79119,118,83600,23.424076,53.847818
United Arab Emirates,2019,100,100,196.4,,0.67,125.85,0,3.8,2.930968,134878.39,3.36,188860.0006,0.79182535,3.411538686,42701.44305,118,83600,23.424076,53.847818
Trinidad and Tobago,2016,100,100,2.6,,0.43,8.85,0,0.01,0.11286682,134233.72,18.48,18309.99947,0.006985533,-5.601818139,16250.62869,273,5128,10.691803,-61.222503
United Arab Emirates,2018,100,100,62.24,,0.32,126.61,0,1.32,1.0318142,132789.17,4.11,177119.9951,0.2737676,1.189855642,43839.32449,118,83600,23.424076,53.847818
Trinidad and Tobago,2018,100,100,2.17,,0.45,8.67,0,0.01,0.11520737,131650.61,19.34,17780.00069,0.006240048,0.066049775,17037.86236,273,5128,10.691803,-61.222503
United Arab Emirates,2020,100,100,256.84,,,119.49,1.56,5.5,5.5788226,126073.66,,,1.0150354,-6.134500803,36284.55524,118,83600,23.424076,53.847818
Trinidad and Tobago,2019,100,100,2.16,,0.43,8.63,0,0.01,0.11574074,123712.94,19.9,17190.00053,0.006373613,-1.246427336,16637.16294,273,5128,10.691803,-61.222503
Canada,2017,100,100,,,22.47,113.7,95.57,435.43,82.36389,110509.586,7.17,568080.0171,29.67364,3.039880225,45129.35644,4,9984670,56.130366,-106.346771
Canada,2016,100,100,,,22.05,122.35,95.69,426.84,81.02748,110180.79,7.1,556830.0171,29.6526,1.001394414,42315.60371,4,9984670,56.130366,-106.346771
Canada,2018,100,100,,,21.99,112.47,95.03,428.39,82.31297,110059.28,7.1,580090.0269,28.814518,2.777040554,46548.52036,4,9984670,56.130366,-106.346771
Kuwait,2016,100,100,8.32,,0.01,65.83,0,0.02,0.030372059,109505.66,7.3,91550.00305,0.029127507,2.925868226,27653.15762,240,17818,29.31166,47.481766
Kuwait,2017,100,100,10.95,,0.02,68.36,0,0.04,0.058479533,109312.47,7.18,90730.00336,0.040029116,-4.712106209,29759.46747,240,17818,29.31166,47.481766
Trinidad and Tobago,2020,100,100,2.15,,,8.2,0,0.01,0.12180268,108794.93,,,0.007312009,-7.853939948,15425.63511,273,5128,10.691803,-61.222503
Canada,2019,100,100,,,22.11,110.65,95.47,421.8,82.378334,107980.76,6.94,580210.022,28.586376,1.879592028,46338.34096,4,9984670,56.130366,-106.346771
Kuwait,2018,100,100,13.41,,0.03,69.58,0,0.06,0.08615738,106945.27,7.07,91389.99939,0.03133408,1.246129408,33399.06044,240,17818,29.31166,47.481766
Norway,2016,100,100,,,59.39,2.97,0,145.16,97.995,106194.95,3.57,38759.99832,69.86629,1.071558977,70460.56053,15,323802,60.472024,8.468946
Norway,2017,100,100,,,61.09,2.93,0,145.48,98.025734,105901.33,3.68,37720.00122,69.260994,2.323290208,75496.75406,15,323802,60.472024,8.468946
Norway,2020,100,100,,,,2.2,0,152.09,98.57412,103888.89,,,70.96306,-0.717182669,67329.67779,15,323802,60.472024,8.468946
Norway,2018,100,100,,,60.75,2.96,0,143.06,97.97288,103558.19,3.66,37590.00015,68.85805,1.118828479,82267.80932,15,323802,60.472024,8.468946
Canada,2020,100,100,,,,102.19,92.65,429.24,83.625496,100497.28,,,30.54215,-5.233024303,43294.64816,4,9984670,56.130366,-106.346771
Norway,2019,100,100,,,62.37,2.76,0,131.07,97.93769,96392.5,3.33,35950.00076,67.08509,0.745798219,75719.7529,15,323802,60.472024,8.468946
Saudi Arabia,2016,99.9,100,0.75,,0.01,337.38,,0.05,0.014817889,95158.55,5.7,561229.9805,0.003963404,1.670624758,19878.76384,16,2149690,23.885942,45.079162
Kuwait,2019,100,100,25.14,,0.06,70.45,0,0.06,0.08509431,94612.555,7.4,92650.00153,0.034184188,0.42746394,32373.25112,240,17818,29.31166,47.481766
Saudi Arabia,2017,99.93,100,1.12,,0.02,354.3,,0.07,0.019753365,93054.375,5.85,545070.0073,0.005624967,-0.741502653,20802.46631,16,2149690,23.885942,45.079162
Kuwait,2020,100,100,24.76,,,66.89,0,0.05,0.074693754,91131.37,,,0.036519468,-8.685261653,24811.76971,240,17818,29.31166,47.481766
Saudi Arabia,2018,100,100,2.59,,0.02,334.7,,0.16,0.047781166,88573.47,5.58,521260.0098,0.013882196,2.434110781,23337.01755,16,2149690,23.885942,45.079162
Saudi Arabia,2019,100,100,12.04,,0.03,335.24,,0.21,0.062602475,82989.266,5.58,523780.0293,0.018180711,0.331435729,23139.79798,16,2149690,23.885942,45.079162
Oman,2018,100,100,1.72,,0,35.45,0,0.02,0.056385677,81662.58,7.79,75599.99847,0.010915677,1.287103915,18947.3665,16,309500,21.4735329,55.975413
Oman,2019,100,100,11.81,,0,36.03,0,0.02,0.055478502,81070.86,7.23,76029.99878,0.017586906,-1.129206457,17700.70349,16,309500,21.4735329,55.975413
United States,2018,100,100,,,10.12,2661.3,807.08,733.17,36.659092,80583.34,4.61,4975310.059,8.964939,2.996464352,63064.41841,36,9833517,37.09024,-95.712891
Saudi Arabia,2020,100,100,11.85,,,337.82,,0.21,0.062124662,80309.99,,,0.018463893,-4.106583413,20110.31619,16,2149690,23.885942,45.079162
Malta,2019,100,100,,,7.7,1.86,0,0.21,10.144928,80081.51,1.37,1659.999967,,5.539566337,30186.19596,"1,380",316,35.937496,14.375416
New Caledonia,2018,100,,516.77,,4.77,2.58,0,0.42,14,79704.05,,,,,36382.48766,16,19060,-20.904305,165.618042
United States,2019,100,100,,,10.42,2588.21,809.41,760.76,37.75918,79489.016,4.51,4817720.215,9.315263,2.161176515,65279.52903,36,9833517,37.09024,-95.712891
New Caledonia,2019,100,,629.12,,5.4,2.6,0,0.54,17.197453,79064.88,,,,,34788.52928,16,19060,-20.904305,165.618042
Oman,2020,100,100,31.08,,,34.21,0,0.13,0.37856728,79038.305,,,0.2240027,-3.20093599,14485.38612,16,309500,21.4735329,55.975413
Malta,2018,100,100,,,7.54,1.77,0,0.2,10.152284,78729.375,1.36,1549.999952,,5.179224796,30672.29224,"1,380",316,35.937496,14.375416
United States,2016,100,100,,,9.46,2656.96,805.69,624.91,34.998875,78613.54,4.74,4894500,8.285086,1.711426774,58021.4005,36,9833517,37.09024,-95.712891
United States,2017,100,100,,,9.92,2540.17,804.95,707.19,37.315506,78289.01,4.62,4819370.117,9.082049,2.332679395,60109.65573,36,9833517,37.09024,-95.712891
Oman,2017,100,100,1.76,,0,33.96,0,0.02,0.058858152,77804.74,8.07,71930.00031,0.011463476,0.304057566,17329.18546,16,309500,21.4735329,55.975413
Malta,2017,100,100,,,7.27,1.48,0,0.17,10.30303,77316.09,1.42,1519.999981,,8.119425289,28250.69777,"1,380",316,35.937496,14.375416
Oman,2016,100,100,0.49,,0,32.17,0,0,0,76792.23,7.56,72129.99725,0.003337541,5.046423946,16772.73921,16,309500,21.4735329,55.975413
Luxembourg,2018,100,100,,,16.09,0.28,0,0.68,70.833336,76376.74,2.37,9319.999695,4.1558747,2.00437712,117197.4817,242,2586,49.815273,6.129583
Luxembourg,2019,100,100,,,16.45,0.27,0,0.8,74.76635,76273.7,2.34,9489.999771,4.7653427,3.283806756,113218.7133,242,2586,49.815273,6.129583
Luxembourg,2017,100,100,,,15.33,0.3,0,0.6,66.66667,74384.77,2.35,9000,3.8070426,1.317187663,109921.0314,242,2586,49.815273,6.129583
New Caledonia,2020,100,,697.36,,,2.73,0,0.42,13.333333,74262.35,,,,,,16,19060,-20.904305,165.618042
New Caledonia,2016,100,,455.65,,3.7,2.67,0,0.29,9.7972975,73955.19,,5328.151,,,32391.19722,16,19060,-20.904305,165.618042
United States,2020,100,100,,,,2431.9,789.88,821.4,39.8518,73236.14,,,10.532232,-3.404591573,63593.44362,36,9833517,37.09024,-95.712891
Luxembourg,2016,100,100,,,13.5,0.33,0,0.46,58.227848,72784.555,2.35,8850.000381,3.052534,4.978190437,106826.7264,242,2586,49.815273,6.129583
Malta,2020,100,100,,,,1.9,0,0.25,11.627907,72065.46,,,,-7.001129615,27884.64283,"1,380",316,35.937496,14.375416
New Caledonia,2017,100,,513.38,4270000,5.08,2.62,0,0.44,14.379086,71473.98,,,,,33976.55555,16,19060,-20.904305,165.618042
Malta,2016,100,100,,,9.22,0.72,0,0.14,16.27907,69591.945,1.35,1350.000024,,4.090917429,25741.44606,"1,380",316,35.937496,14.375416
Turkmenistan,2020,100,99.9,0.2,,,20.11,0,0,0,67626.92,,,0.007161147,,,13,488100,38.969719,59.556278
Australia,2016,100,100,,,9.42,207.66,0,38.41,15.609379,66407.09,4.54,384989.9902,7.1891756,2.741643069,49881.76371,3,7741220,-25.274398,133.775136
Australia,2019,100,100,,,10.13,196.45,0,53.41,21.37597,66263.54,4.3,386529.9988,8.880722,2.113149425,54875.28596,3,7741220,-25.274398,133.775136
Australia,2017,100,100,,,9.69,209.14,0,40.77,16.313873,65146.316,4.49,389160.0037,6.750127,2.295926947,53934.25018,3,7741220,-25.274398,133.775136
Australia,2018,100,100,,,9.67,207.45,0,42.93,17.145937,65072.668,4.39,387070.0073,8.300061,2.87097248,57180.7794,3,7741220,-25.274398,133.775136
Luxembourg,2020,100,100,,,,0.25,0,0.97,79.508194,64241.79,,,6.848767,-1.776240229,116014.6025,242,2586,49.815273,6.129583
Belgium,2019,100,100,,,10.21,29.32,43.52,19.47,68.237465,64152.26,3.87,93010.00214,7.959382,2.149559681,46591.49161,383,30528,50.503887,4.469936
Sweden,2017,100,100,,,51.81,3.47,65.7,95.06,97.88711,63417.605,3.97,38290.00092,43.339447,2.567924525,53791.50873,25,450295,60.128161,18.643501
Sweden,2019,100,100,,,52.88,3.35,66.13,98.94,98.010925,63283.47,3.8,35000,43.813766,1.986195874,51939.42974,25,450295,60.128161,18.643501
Belgium,2017,100,100,,,9.64,26.9,42.23,15.8,68.32686,62897.13,4.04,92720.00122,6.910616,1.619580278,44089.31009,383,30528,50.503887,4.469936
Belgium,2016,100,100,,,9.2,26.19,43.52,14.25,68.80657,62694.066,4.12,94220.00122,6.357454,1.266686409,41984.10303,383,30528,50.503887,4.469936
Belgium,2018,100,100,,,10.66,27.75,28.6,17.17,62.255173,62384.855,3.82,93660.00366,7.41519,1.819203664,47519.5531,383,30528,50.503887,4.469936
